xfercap_bytes,xfercap_label,engines,channels,lanes,descriptors,total_bytes_per_lane,aggregate_bytes,loops,min_ns,avg_ns,p50_ns,p90_ns,p95_ns,p99_ns,max_ns,best_total_gib_per_s,avg_total_gib_per_s,p50_total_gib_per_s,p99_total_gib_per_s,worst_total_gib_per_s,avg_per_lane_gib_per_s,line,board_log,host_log
256,256B,1,1,1,4096,1048576,1048576,3,1430667,1431096,1430715,1431907,1431907,1431907,1431907,0.683,0.682,0.683,0.682,0.682,0.682,452,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_256B_20260310_xfercap_1m_256plus.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_256B_20260310_xfercap_1m_256plus.host.log
512,512B,1,1,1,2048,1048576,1048576,3,863778,864082,864192,864277,864277,864277,864277,1.131,1.130,1.130,1.130,1.130,1.130,453,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_512B_20260310_xfercap_1m_256plus.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_512B_20260310_xfercap_1m_256plus.host.log
1024,1KiB,1,1,1,1024,1048576,1048576,3,474145,474203,474180,474284,474284,474284,474284,2.060,2.059,2.059,2.059,2.059,2.059,454,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_1KiB_20260310_xfercap_1m_256plus.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_1KiB_20260310_xfercap_1m_256plus.host.log
2048,2KiB,1,1,1,512,1048576,1048576,3,277550,278275,278088,279189,279189,279189,279189,3.519,3.509,3.512,3.498,3.498,3.509,453,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_2KiB_20260310_xfercap_1m_256plus.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_2KiB_20260310_xfercap_1m_256plus.host.log
4096,4KiB,1,1,1,256,1048576,1048576,3,205835,206553,206434,207392,207392,207392,207392,4.744,4.728,4.731,4.709,4.709,4.728,454,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_4KiB_20260310_xfercap_1m_256plus.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/xfercap_20260310_xfercap_1m_256plus/ce_xfercap_4KiB_20260310_xfercap_1m_256plus.host.log
