threads,total_bytes_per_thread,bytes_per_thread,aggregate_bytes,loops,min_ns,avg_ns,p50_ns,p90_ns,p95_ns,p99_ns,max_ns,best_total_gib_per_s,avg_total_gib_per_s,p50_total_gib_per_s,p99_total_gib_per_s,worst_total_gib_per_s,avg_per_thread_gib_per_s,line,board_log,host_log
1,2097152,2097152,2097152,1,2702049,2702049,2702049,2702049,2702049,2702049,2702049,0.723,0.723,0.723,0.723,0.723,0.723,443,/home/wq/sh/SimCXL/exp/DMA/data/raw/cpu_memmove_20260310_cpu_memmove_2m/cpu_memmove_1c_20260310_cpu_memmove_2m.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/cpu_memmove_20260310_cpu_memmove_2m/cpu_memmove_1c_20260310_cpu_memmove_2m.host.log
2,2097152,2097152,4194304,1,2761035,2761035,2761035,2761035,2761035,2761035,2761035,1.415,1.415,1.415,1.415,1.415,0.707,447,/home/wq/sh/SimCXL/exp/DMA/data/raw/cpu_memmove_20260310_cpu_memmove_2m/cpu_memmove_2c_20260310_cpu_memmove_2m.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/cpu_memmove_20260310_cpu_memmove_2m/cpu_memmove_2c_20260310_cpu_memmove_2m.host.log
4,2097152,2097152,8388608,1,2803153,2803153,2803153,2803153,2803153,2803153,2803153,2.787,2.787,2.787,2.787,2.787,0.697,454,/home/wq/sh/SimCXL/exp/DMA/data/raw/cpu_memmove_20260310_cpu_memmove_2m/cpu_memmove_4c_20260310_cpu_memmove_2m.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/cpu_memmove_20260310_cpu_memmove_2m/cpu_memmove_4c_20260310_cpu_memmove_2m.host.log
8,2097152,2097152,16777216,1,2753402,2753402,2753402,2753402,2753402,2753402,2753402,5.675,5.675,5.675,5.675,5.675,0.709,465,/home/wq/sh/SimCXL/exp/DMA/data/raw/cpu_memmove_20260310_cpu_memmove_2m/cpu_memmove_8c_20260310_cpu_memmove_2m.board.pc.com_1.device,/home/wq/sh/SimCXL/exp/DMA/data/raw/cpu_memmove_20260310_cpu_memmove_2m/cpu_memmove_8c_20260310_cpu_memmove_2m.host.log
